slot_key,day_offset,assignee,summary,location,description,start_hour,start_minute,duration_minutes
field-demo-1,1,直販チームD,北辰エレクトロニクス提案,北辰エレクトロニクス 川崎本社,製造ライン監視ダッシュボードの刷新提案。現場責任者向けに帳票連携をデモする。,9,30,90
field-demo-2,1,直販チームE,さくら福祉法人ヒアリング,さくら福祉法人 新宿ケアセンター,介護記録の電子化に関する業務ヒアリング。現場運用の制約条件を整理する。,11,30,60
field-demo-3,2,直販チームF,銀河モビリティ商談,銀河モビリティ 品川ショールーム,モバイル点検アプリの導入提案。営業企画部へ実機デモを行う。,10,0,120
field-demo-4,2,直販チームD,白鷺アセット訪問,白鷺アセットマネジメント 丸の内オフィス,物件管理レポート自動化のPoC報告。役員向けに収益管理画面を説明する。,14,0,90
field-demo-5,3,直販チームE,東都フーズ打ち合わせ,東都フーズ さいたま工場,温度管理記録のペーパーレス化提案。品質保証部と導入範囲を調整する。,9,0,60
field-demo-6,3,直販チームF,南星トラベル提案,南星トラベル オンライン会議,予約センター向けの問合せ可視化ダッシュボードをオンラインで紹介する。,13,0,75
field-demo-7,4,直販チームD,光和ケミカル現調,光和ケミカル 千葉研究所,試験設備の保守申請ワークフローを確認し、現場導線に沿った画面を提案する。,10,30,90
field-demo-8,4,直販チームE,翠山ホテルズ商談,翠山ホテルズ 横浜ベイ支配人室,多拠点ホテルの日報集約デモ。運営本部と帳票レイアウトをすり合わせる。,15,0,60
field-demo-9,5,直販チームF,第一港運レビュー,第一港運 大井物流センター,入出庫進捗ボードの改善レビュー。センター長へ次期改修案を提示する。,9,30,90
field-demo-10,5,直販チームD,アーク教育研究会訪問,アーク教育研究会 御茶ノ水本部,受講者管理ポータルの導入説明。事務局責任者へ権限設定をデモする。,13,30,90
field-demo-11,6,直販チームE,瑞雲メディカル提案,瑞雲メディカル 立川ラボ,検査機器ログ統合の提案会。研究開発部へ分析画面のプロトタイプを見せる。,10,0,120
field-demo-12,6,直販チームF,星川パッケージ最終確認,星川パッケージ 越谷工場,出荷判定フローの最終確認。導入スケジュールと初期教育計画を詰める。,15,30,60
